College name,College url,Establishment year,Total students,Course total students,Institution code
The University of Adelaide,https://www.courseseeker.edu.au/institutions/the-university-of-adelaide,1874.0,,0.0,3010.0
The University of Melbourne,https://www.courseseeker.edu.au/institutions/the-university-of-melbourne,1855.0,7955,0.0,3036.0
The University of New England,https://www.courseseeker.edu.au/institutions/the-university-of-new-england,,3858,4652.0,3039.0
The University of Notre Dame Australia,https://www.courseseeker.edu.au/institutions/the-university-of-notre-dame-australia,,"1,825",478.0,3044.0
The University of Newcastle,https://www.courseseeker.edu.au/institutions/the-university-of-newcastle,,7386,5822.0,3014.0
The University of Queensland,https://www.courseseeker.edu.au/institutions/the-university-of-queensland,,9171,5712.0,3019.0
Think Colleges Pty Ltd,https://www.courseseeker.edu.au/institutions/think-colleges-pty-ltd,,,8.0,4375.0
The University of Sydney,https://www.courseseeker.edu.au/institutions/the-university-of-sydney,,"10,787",10053.0,3040.0
The University of Western Australia,https://www.courseseeker.edu.au/institutions/the-university-of-western-australia,,"4,273",8444.0,1055.0
Turning Point Alcohol and Drug Centre,https://www.courseseeker.edu.au/institutions/turning-point-alcohol-and-drug-centre,,,,
Torrens University Australia,https://www.courseseeker.edu.au/institutions/torrens-university-australia,,2082,3662.0,4449.0
UTS College,https://www.courseseeker.edu.au/institutions/uts-college,,1964,0.0,4380.0
Universal Business School Sydney (UBSS),https://www.courseseeker.edu.au/institutions/universal-business-school-sydney-ubss,,1640,3038.0,4409.0
University of Canberra,https://www.courseseeker.edu.au/institutions/university-of-canberra,,3071,2803.0,2241.0
University of Divinity,https://www.courseseeker.edu.au/institutions/university-of-divinity,,171,0.0,4331.0
University of New South Wales,https://www.courseseeker.edu.au/institutions/university-of-new-south-wales,,7488,5626.0,3013.0
CG Spectrum Institute,,,,0.0,6015.0
