College name,College url,Course name,Course url,Course ID,Highest rank to receive an offer - ATAR,Median rank to receive an offer - ATAR,Lowest rank to receive an offer - ATAR,Highest rank to receive an offer - Selection Rank,Median rank to receive an offer - Selection Rank,Lowest rank to receive an offer - Selection Rank,Campus name,Campus latitude,Campus longitude,Intake year,Total students,Campus ID,Campus Code,Institution Code
University of Tasmania,https://www.courseseeker.edu.au/institutions/university-of-tasmania,Bachelor of Information and Communication Technology and Bachelor of Science,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communication-technology-and-bachelor-of-science-93HHOUTAS,93HHOUTAS,98.2,89.2,80.2,98.2,89.2,80.2,Hobart,-42.90402200,147.32550000,2022,<5,3045-HO,HO,3045
University of Tasmania,https://www.courseseeker.edu.au/institutions/university-of-tasmania,Bachelor of Information and Communication Technology and Bachelor of Science,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communication-technology-and-bachelor-of-science-93HLAUTAS,93HLAUTAS,98.2,89.2,80.2,98.2,89.2,80.2,Launceston,-41.40235800,147.12365000,2022,<5,3045-LA,LA,3045
Swinburne University of Technology,https://www.courseseeker.edu.au/institutions/swinburne-university-of-technology,Bachelor of Information and Communication Technology/Bachelor of Applied Innovation,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communication-technology-bachelor-of-applied-innovation-VTAC3400212601,VTAC3400212601,,,,,,,Hawthorn,-37.82215000,145.03895500,,,2177-340,340,2177
Swinburne University of Technology,https://www.courseseeker.edu.au/institutions/swinburne-university-of-technology,Bachelor of Information and Communication Technology/Bachelor of Applied Innovation - 2024 Early Entry Program,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communication-technology-bachelor-of-applied-innovation-2024-early-entry-program-VTAC3400212861,VTAC3400212861,,,,,,,Hawthorn,-37.82215000,145.03895500,,,2177-340,340,2177
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-UAC724012,UAC724012,96.05,65.82,55.15,99.95,71.1,65.15,Campbelltown,-34.06921400,150.78859100,2023,192,3004-CA,CA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-UAC724020,UAC724020,96.05,65.82,55.15,99.95,71.1,65.15,Penrith,-33.76897300,150.73470900,2023,192,3004-PE,PE,3004
University of the Sunshine Coast,https://www.courseseeker.edu.au/institutions/university-of-the-sunshine-coast,Bachelor of Information and Communications Technology,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-QTAC012091,QTAC012091,87.20,69.20,52.00,91.20,72.20,54.00,Sunshine Coast,-26.72007200,153.07019800,2023,35,3043-SC,SC,3043
University of the Sunshine Coast,https://www.courseseeker.edu.au/institutions/university-of-the-sunshine-coast,Bachelor of Information and Communications Technology,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-QTAC014091,QTAC014091,,,,,,,Moreton Bay,-27.27165400,152.98138400,2023,24,3043-SM,SM,3043
University of the Sunshine Coast,https://www.courseseeker.edu.au/institutions/university-of-the-sunshine-coast,Bachelor of Information and Communications Technology,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-QTAC015025,QTAC015025,,,,,,,Online,,,2023,6,3043-SA,SA,3043
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-UAC724016,UAC724016,96.05,65.82,55.15,99.95,71.1,65.15,Parramatta,-33.80743900,151.02277100,2023,192,3004-PA,PA,3004
Stanley College,https://www.courseseeker.edu.au/institutions/stanley-college,Bachelor of Information and Communications Technology,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-TISCSTICT,TISCSTICT,,,,,,,Perth,-31.94690200,115.83996900,2021,,7454-ST,ST,7454
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology (Advanced),https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-advanced-UAC720146,UAC720146,<5,<5,<5,<5,<5,<5,Parramatta,-33.80743900,151.02277100,2023,,3004-PA,PA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology (Advanced),https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-advanced-UAC720144,UAC720144,,,,,,,Campbelltown,-34.06921400,150.78859100,2023,,3004-CA,CA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology (Advanced),https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-advanced-UAC720148,UAC720148,,,,,,,Penrith,-33.76897300,150.73470900,2023,,3004-PE,PE,3004
